------------------------------,--------------------
www.electricblue.eu,Portugal
------------------------------,--------------------
EnvLogger version,T2.4
EnvLogger Viewer version,5.3
downloading device type,android
device,SM-J737T1
device name,Galaxy J7 Star
downloading mode,auto
------------------------------,--------------------
serial number,0426 9800 0457 0A
custom name,6-N-B6
temperature,degrees Celsius
time zone,UTC+0000
sampling resolution,0.1
samples,448
time diff [logger-smartphone](sec),87
lat,-0.765953
long,-90.340662
accuracy (m),7.5
------------------------------,--------------------
time,temp
27/01/2024 04:30,25.5
27/01/2024 06:00,26.8
27/01/2024 07:30,27
27/01/2024 09:00,27
27/01/2024 10:30,26.9
27/01/2024 12:00,26.8
27/01/2024 13:30,27
27/01/2024 15:00,30.2
27/01/2024 16:30,40.6
27/01/2024 18:00,45.7
27/01/2024 19:30,28.2
27/01/2024 21:00,28.2
27/01/2024 22:30,28
28/01/2024 00:00,27.7
28/01/2024 01:30,27.5
28/01/2024 03:00,26.7
28/01/2024 04:30,26
28/01/2024 06:00,26
28/01/2024 07:30,27.4
28/01/2024 09:00,27.4
28/01/2024 10:30,27.2
28/01/2024 12:00,27.2
28/01/2024 13:30,27.1
28/01/2024 15:00,27.9
28/01/2024 16:30,30.7
28/01/2024 18:00,38
28/01/2024 19:30,28.8
28/01/2024 21:00,28.6
28/01/2024 22:30,28.3
29/01/2024 00:00,28
29/01/2024 01:30,27.4
29/01/2024 03:00,26.5
29/01/2024 04:30,25.7
29/01/2024 06:00,26
29/01/2024 07:30,27
29/01/2024 09:00,27.2
29/01/2024 10:30,27.2
29/01/2024 12:00,27.1
29/01/2024 13:30,26.9
29/01/2024 15:00,27.8
29/01/2024 16:30,35.3
29/01/2024 18:00,42.9
29/01/2024 19:30,39.8
29/01/2024 21:00,28.6
29/01/2024 22:30,28.6
30/01/2024 00:00,28.2
30/01/2024 01:30,27.7
30/01/2024 03:00,27.4
30/01/2024 04:30,26.5
30/01/2024 06:00,26
30/01/2024 07:30,26.7
30/01/2024 09:00,27.4
30/01/2024 10:30,27.2
30/01/2024 12:00,27.2
30/01/2024 13:30,27.2
30/01/2024 15:00,26.9
30/01/2024 16:30,31.1
30/01/2024 18:00,41.7
30/01/2024 19:30,35.7
30/01/2024 21:00,28.1
30/01/2024 22:30,28
31/01/2024 00:00,27.7
31/01/2024 01:30,27.4
31/01/2024 03:00,27.1
31/01/2024 04:30,26.6
31/01/2024 06:00,26.3
31/01/2024 07:30,26.2
31/01/2024 09:00,27.2
31/01/2024 10:30,27.1
31/01/2024 12:00,26.9
31/01/2024 13:30,26.9
31/01/2024 15:00,27.1
31/01/2024 16:30,30.6
31/01/2024 18:00,38.6
31/01/2024 19:30,36.8
31/01/2024 21:00,28.3
31/01/2024 22:30,28.1
01/02/2024 00:00,27.9
01/02/2024 01:30,27.5
01/02/2024 03:00,27.3
01/02/2024 04:30,27.1
01/02/2024 06:00,26.1
01/02/2024 07:30,25.7
01/02/2024 09:00,27
01/02/2024 10:30,27.2
01/02/2024 12:00,27.1
