------------------------------,--------------------
www.electricblue.eu,Portugal
------------------------------,--------------------
EnvLogger version,T2.4
EnvLogger Viewer version,5.3
downloading device type,android
device,SM-J737T1
device name,Galaxy J7 Star
downloading mode,auto
------------------------------,--------------------
serial number,0456 3D00 F82E 10
custom name,6-P-B1
temperature,degrees Celsius
time zone,UTC+0000
sampling resolution,0.1
samples,514
time diff [logger-smartphone](sec),130
lat,-0.743366
long,-90.303913
accuracy (m),7.5
------------------------------,--------------------
time,temp
25/01/2024 03:00,25.8
25/01/2024 04:30,26.6
25/01/2024 06:00,26.7
25/01/2024 07:30,26.7
25/01/2024 09:00,26.7
25/01/2024 10:30,26.7
25/01/2024 12:00,26.6
25/01/2024 13:30,26.6
25/01/2024 15:00,28.7
25/01/2024 16:30,35.4
25/01/2024 18:00,28.4
25/01/2024 19:30,28.3
25/01/2024 21:00,28.4
25/01/2024 22:30,28.2
26/01/2024 00:00,28
26/01/2024 01:30,27.4
26/01/2024 03:00,26.2
26/01/2024 04:30,26.1
26/01/2024 06:00,27.2
26/01/2024 07:30,27.3
26/01/2024 09:00,27.1
26/01/2024 10:30,27.1
26/01/2024 12:00,26.9
26/01/2024 13:30,27.1
26/01/2024 15:00,27.6
26/01/2024 16:30,30.1
26/01/2024 18:00,28.8
26/01/2024 19:30,28.3
26/01/2024 21:00,28.1
26/01/2024 22:30,27.9
27/01/2024 00:00,27.5
27/01/2024 01:30,27.5
27/01/2024 03:00,26.1
27/01/2024 04:30,25.5
27/01/2024 06:00,26.7
27/01/2024 07:30,27.1
27/01/2024 09:00,27.2
27/01/2024 10:30,27.1
27/01/2024 12:00,26.9
27/01/2024 13:30,26.9
27/01/2024 15:00,30.7
27/01/2024 16:30,40.8
27/01/2024 18:00,45.8
27/01/2024 19:30,29.5
27/01/2024 21:00,29.2
27/01/2024 22:30,28.7
28/01/2024 00:00,28.2
28/01/2024 01:30,28
28/01/2024 03:00,27
28/01/2024 04:30,26.2
28/01/2024 06:00,26.1
28/01/2024 07:30,27.2
28/01/2024 09:00,27.4
28/01/2024 10:30,27.3
28/01/2024 12:00,27.3
28/01/2024 13:30,27.2
28/01/2024 15:00,28.1
28/01/2024 16:30,31.6
28/01/2024 18:00,38.1
28/01/2024 19:30,29.4
28/01/2024 21:00,29.2
28/01/2024 22:30,28.8
29/01/2024 00:00,28.2
29/01/2024 01:30,27.8
29/01/2024 03:00,27.5
29/01/2024 04:30,26.1
29/01/2024 06:00,26
29/01/2024 07:30,27.1
29/01/2024 09:00,27.1
29/01/2024 10:30,27.1
29/01/2024 12:00,27.1
29/01/2024 13:30,27
29/01/2024 15:00,27.7
29/01/2024 16:30,34.8
29/01/2024 18:00,44.4
29/01/2024 19:30,31
29/01/2024 21:00,29.5
29/01/2024 22:30,29.2
30/01/2024 00:00,28.5
30/01/2024 01:30,28
30/01/2024 03:00,28.1
30/01/2024 04:30,26.9
30/01/2024 06:00,26.3
30/01/2024 07:30,27.1
30/01/2024 09:00,27.4
30/01/2024 10:30,27.4
30/01/2024 12:00,27.4
30/01/2024 13:30,27.3
30/01/2024 15:00,27.4
30/01/2024 16:30,32.6
30/01/2024 18:00,43.6
30/01/2024 19:30,31.3
30/01/2024 21:00,28.2
30/01/2024 22:30,27.9
31/01/2024 00:00,27.6
31/01/2024 01:30,27.5
31/01/2024 03:00,27.6
31/01/2024 04:30,27.3
31/01/2024 06:00,26.3
31/01/2024 07:30,26.5
31/01/2024 09:00,27.1
31/01/2024 10:30,27.1
31/01/2024 12:00,27
31/01/2024 13:30,27
31/01/2024 15:00,27.4
31/01/2024 16:30,29.5
31/01/2024 18:00,32.1
31/01/2024 19:30,34.4
31/01/2024 21:00,28.5
31/01/2024 22:30,28.1
01/02/2024 00:00,27.9
01/02/2024 01:30,27.8
01/02/2024 03:00,27.6
01/02/2024 04:30,27.4
01/02/2024 06:00,26.4
01/02/2024 07:30,25.9
01/02/2024 09:00,27
01/02/2024 10:30,27.1
01/02/2024 12:00,27.1
01/02/2024 13:30,27.1
01/02/2024 15:00,27.5
01/02/2024 16:30,28.6
01/02/2024 18:00,31.7
01/02/2024 19:30,40.6
01/02/2024 21:00,29.9
